위도,경도,수요,환승,행정구역,최단정류장거리_km,커버여부
36.35392,127.10468399999999,0.0,0.0,도담동,13.185394994180108,False
36.35392,127.10968399999999,0.0,0.0,도담동,12.874243399706929,False
36.35392,127.11468399999998,0.0,0.0,도담동,12.571324476937665,False
36.35392,127.11968399999998,0.0,0.0,도담동,12.277247620778963,False
36.35392,127.12468399999997,0.0,0.0,도담동,11.992663309161253,False
36.35392,127.12968399999997,0.0,0.0,도담동,11.718263157904854,False
36.35392,127.13468399999996,0.0,0.0,도담동,11.45477907828828,False
36.35392,127.13968399999996,0.0,0.0,도담동,11.202981306185569,False
36.35392,127.14468399999996,0.0,0.0,도담동,10.963675054296644,False
36.35392,127.14968399999995,0.0,0.0,도담동,10.737695534658888,False
36.35392,127.15468399999995,0.0,0.0,도담동,10.525901113746658,False
36.35392,127.15968399999994,0.0,0.0,도담동,10.32916440436014,False
36.35392,127.16468399999994,0.0,0.0,도담동,10.148361173796326,False
36.35392,127.16968399999993,0.0,0.0,금남면,9.98435706146693,False
36.35392,127.17468399999993,0.0,0.0,금남면,9.837992252094093,False
36.35392,127.17968399999992,0.0,0.0,금남면,9.710064437778474,False
36.35392,127.18468399999992,0.0,0.0,금남면,9.601310610443244,False
36.35392,127.18968399999991,0.0,0.0,금남면,9.512388433779078,False
36.35392,127.19468399999991,0.0,0.0,금남면,9.443858121605766,False
36.35392,127.1996839999999,0.0,0.0,금남면,9.396165864834037,False
36.35392,127.2046839999999,0.0,0.0,금남면,9.369629871710705,False
36.35392,127.2096839999999,0.0,0.0,금남면,9.364429995600558,False
36.35392,127.21468399999989,0.0,0.0,금남면,9.377730331927053,False
36.35392,127.21968399999989,0.0,0.0,금남면,9.372107575049187,False
36.35392,127.22468399999988,0.0,0.0,금남면,9.094251627447111,False
36.35392,127.22968399999988,0.0,0.0,금남면,8.699229964118791,False
36.35392,127.23468399999987,0.0,0.0,금남면,8.309547853175001,False
36.35392,127.23968399999987,0.0,0.0,금남면,7.92599289350313,False
36.35392,127.24468399999986,0.0,0.0,금남면,7.5494990202178975,False
36.35392,127.24968399999986,0.0,0.0,금남면,7.1811769136428305,False
36.35392,127.25468399999986,0.0,0.0,금남면,6.822350224716613,False
36.35392,127.25968399999985,0.0,0.0,금남면,6.474597874826949,False
36.35392,127.26468399999985,0.0,0.0,금남면,6.1398018724908905,False
36.35392,127.26968399999984,0.0,0.0,금남면,5.820198517079418,False
36.35392,127.27468399999984,0.0,0.0,금남면,5.518428117250753,False
36.35392,127.27968399999983,0.0,0.0,금남면,5.237573996017389,False
36.35392,127.28468399999983,0.0,0.0,금남면,4.981175385567726,False
36.35392,127.28968399999982,0.0,0.0,금남면,4.752018635973187,False
36.35392,127.29468399999982,0.0,0.0,금남면,4.554289272771915,False
36.35392,127.29968399999981,0.0,0.0,금남면,4.393428673679122,False
36.35392,127.30468399999981,0.0,0.0,금남면,4.273602147176675,False
36.35392,127.3096839999998,0.0,0.0,금남면,4.1983246882308185,False
36.35392,127.3146839999998,0.0,0.0,금남면,4.170009608955344,False
36.35392,127.3196839999998,0.0,0.0,금남면,4.189609190115511,False
36.35392,127.32468399999979,0.0,0.0,금남면,4.2564615901864515,False
36.35392,127.32968399999979,0.0,0.0,금남면,4.368397926673408,False
36.35392,127.33468399999978,0.0,0.0,금남면,4.522071504787435,False
36.35392,127.33968399999978,0.0,0.0,금남면,4.713401745131783,False
36.35392,127.34468399999977,0.0,0.0,금남면,4.938013405291086,False
36.35392,127.34968399999977,0.0,0.0,금남면,5.191588564982763,False
36.35392,127.35468399999976,0.0,0.0,금남면,5.470100759203065,False
36.35392,127.35968399999976,0.0,0.0,금남면,5.769940021022059,False
36.35392,127.36468399999976,0.0,0.0,금남면,6.087956012497765,False
36.35392,127.36968399999975,0.0,0.0,금남면,6.421448745998141,False
36.35392,127.37468399999975,0.0,0.0,금남면,6.768130805262198,False
36.35392,127.37968399999974,0.0,0.0,금남면,7.126077476200262,False
36.35392,127.38468399999974,0.0,0.0,금남면,7.493674718268759,False
36.35392,127.38968399999973,0.0,0.0,금남면,7.869570276829369,False
36.35392,127.39468399999973,0.0,0.0,금남면,8.252630299337868,False
36.35392,127.39968399999972,0.0,0.0,금남면,8.641902123575543,False
36.35392,127.40468399999972,0.0,0.0,금남면,9.036583020814476,False
36.35392,127.40968399999971,0.0,0.0,금남면,9.435994275891789,False
36.35392,127.41468399999971,0.0,0.0,금남면,9.65200992944234,False
36.35392,127.4196839999997,0.0,0.0,금남면,9.780485014522135,False
36.35392,127.4246839999997,0.0,0.0,금남면,9.927488882212996,False
36.35392,127.4296839999997,0.0,0.0,금남면,10.09221188995739,False
36.35392,127.43468399999969,0.0,0.0,금남면,10.273801783490585,False
36.35392,127.43968399999969,0.0,0.0,금남면,10.471381105684957,False
36.35392,127.44468399999968,0.0,0.0,금남면,10.682755357959467,False
36.35392,127.44968399999968,0.0,0.0,금남면,10.749630754305079,False
36.35392,127.45468399999967,0.0,0.0,금남면,10.834590801935114,False
36.35392,127.45968399999967,0.0,0.0,금남면,10.93721406517765,False
36.35392,127.46468399999966,0.0,0.0,금남면,11.057008742618311,False
36.35392,127.46968399999966,0.0,0.0,금남면,11.19342352985663,False
36.35392,127.47468399999966,0.0,0.0,금남면,11.345858956140832,False
