정류소ID,정류소명,위도,경도,할당_승차,할당_하차,할당_환승,평균거리_km,할당_총수요
SJB293055059,세종고속시외버스터미널,36.46881,127.2735046,0.0,0.0,0.0,0.0,0.0
SJB293053007,첫마을1단지,36.48385,127.2592,0.0,0.0,0.0,0.0,0.0
SJB293064358,새롬중학교(새뜸마을1단지),36.4804553,127.249332,0.0,0.0,0.0,0.0,0.0
SJB293064388,"새뜸마을1,2단지",36.4828783,127.2461704,0.0,0.0,0.0,0.0,0.0
SJB293064312,"가득초등학교(새뜸마을3,4단지)",36.4854282,127.2455481,0.0,0.0,0.0,0.0,0.0
SJB293064360,새뜸마을4단지(가온마을1단지),36.4894565,127.2448371,0.0,0.0,0.0,0.0,0.0
SJB293064352,가락마을6단지,36.502547,127.238868,0.0,0.0,0.0,0.0,0.0
SJB293052002,은하수공원,36.532563,127.243964,0.0,0.0,0.0,0.0,0.0
SJB293052001,은하수공원,36.53181,127.244421,0.0,0.0,0.0,0.0,0.0
SJB293064354,가락마을6단지,36.5024695,127.2384071,0.0,0.0,0.0,0.0,0.0
SJB293064361,새뜸마을4단지(가온마을1단지),36.4895961,127.2447697,0.0,0.0,0.0,0.0,0.0
SJB293064313,"가득초등학교(새뜸마을3,4단지)",36.4853374,127.2452246,0.0,0.0,0.0,0.0,0.0
SJB293064389,"새뜸마을1,2단지",36.4828552,127.2459137,0.0,0.0,0.0,0.0,0.0
SJB293064359,새롬중학교(새뜸마을1단지),36.4802617,127.2494164,0.0,0.0,0.0,0.0,0.0
SJB293064009,첫마을1단지,36.48334,127.25863,0.0,0.0,0.0,0.0,0.0
SJB293064393,보건복지부 고용노동부,36.5024356,127.2609046,0.0,0.0,0.0,0.0,0.0
SJB293062012,정부세종청사북측,36.5048938,127.2616877,0.0,0.0,0.0,0.0,0.0
SJB293056005,인사혁신처,36.5091666,127.2615149,0.0,0.0,0.0,0.0,0.0
SJB293064110,"도램마을8,10단지",36.5119177,127.2600021,0.0,0.0,0.0,0.0,0.0
SJB293056004,도담동(도램마을),36.514017,127.2593948,0.0,0.0,0.0,0.0,0.0
SJB293064030,"종촌초등학교(가재마을1,2단지)",36.5018836,127.2425854,0.0,0.0,0.0,0.0,0.0
SJB293064031,종촌종합복지센터,36.5019154,127.246929,0.0,0.0,0.0,0.0,0.0
SJB293062009,과기정통부(중기부),36.49753,127.26038,0.0,0.0,0.0,0.0,0.0
SJB293062017,문화체육관광부,36.49815,127.2644,0.0,0.0,0.0,0.0,0.0
SJB293062010,과기정통부(중기부),36.49776,127.2605,0.0,0.0,0.0,0.0,0.0
SJB293064026,종촌종합복지센터,36.5022184,127.2474138,1290768.0,1071619.0,184636.0,0.15405143232126556,2362387.0
SJB293064027,"종촌초등학교(가재마을1,2단지)",36.5020819,127.2425959,0.0,0.0,0.0,0.0,0.0
SJB293056001,도담동(도램마을),36.5149714,127.2587943,0.0,0.0,0.0,0.0,0.0
SJB293064109,"도램마을8,10단지",36.5121149,127.2594431,0.0,0.0,0.0,0.0,0.0
SJB293062015,인사혁신처,36.5079451,127.2615354,0.0,0.0,0.0,0.0,0.0
SJB293062013,정부세종청사북측,36.5051501,127.261382,0.0,0.0,0.0,0.0,0.0
SJB293062005,정부세종청사남측,36.5008322,127.2593406,0.0,0.0,0.0,0.0,0.0
SJB293062008,정부세종청사남측,36.5016046,127.2601032,0.0,0.0,0.0,0.0,0.0
SJB293064394,보건복지부 고용노동부,36.5022146,127.2608383,0.0,0.0,0.0,0.0,0.0
SJB293062018,문화체육관광부,36.49931,127.26472,0.0,0.0,0.0,0.0,0.0
SJB293064488,세종예술의전당,36.4874554,127.2646885,0.0,0.0,0.0,0.0,0.0
SJB293064347,세종예술고등학교,36.492095,127.269558,0.0,0.0,0.0,0.0,0.0
SJB293064065,충남대학교병원세종의원,36.4960299,127.2657345,0.0,0.0,0.0,0.0,0.0
SJB293064268,과학기술정보통신,36.496085,127.2630356,0.0,0.0,0.0,0.0,0.0
SJB293064349,나릿재마을,36.4914044,127.2581439,0.0,0.0,0.0,0.0,0.0
SJB293064368,새뜸마을14단지,36.4911744,127.2558346,0.0,0.0,0.0,0.0,0.0
SJB293064366,다정중학교(가온마을4단지),36.4937133,127.2477261,0.0,0.0,0.0,0.0,0.0
SJB293064372,다정고등학교(가온마을1단지),36.4929776,127.2430447,0.0,0.0,0.0,0.0,0.0
SJB293064374,"가온마을2,3단지",36.4960541,127.2420575,0.0,0.0,0.0,0.0,0.0
SJB293064376,한결초등학교,36.4958942,127.2473673,1326940.0,1222322.0,860344.0,0.1484531642072033,2549262.0
SJB293055069,도램마을20단지,36.517445,127.264615,0.0,0.0,0.0,0.0,0.0
SJB293056011,"도램마을16,19단지",36.51484,127.2660717,0.0,0.0,0.0,0.0,0.0
SJB293064073,"도램마을14,15단지",36.5108082,127.2669854,0.0,0.0,0.0,0.0,0.0
SJB293062024,"양지중학교(한뜰마을1,2단지)",36.50712,127.26767,0.0,0.0,0.0,0.0,0.0
SJB293062027,공정거래위원회,36.504461,127.267198,0.0,0.0,0.0,0.0,0.0
SJB293062019,제3주차장,36.50222,127.26608,0.0,0.0,0.0,0.0,0.0
SJB293064306,국립세종도서관정문,36.4991764,127.26764,0.0,0.0,0.0,0.0,0.0
SJB293064384,문화체육관광부,36.4967463,127.2664681,0.0,0.0,0.0,0.0,0.0
SJB293064348,세종예술고등학교,36.492706,127.268917,0.0,0.0,0.0,0.0,0.0
SJB293064489,세종예술의전당,36.4880312,127.2641006,0.0,0.0,0.0,0.0,0.0
SJB293064062,문화체육관광부,36.4966718,127.2666425,0.0,0.0,0.0,0.0,0.0
SJB293064063,국립세종도서관정문,36.4991217,127.2678021,0.0,0.0,0.0,0.0,0.0
SJB293062020,제3주차장,36.50168,127.26609,0.0,0.0,0.0,0.0,0.0
SJB293062021,공정거래위원회,36.50435,127.26735,0.0,0.0,0.0,0.0,0.0
SJB293064392,"한뜰마을1,2단지",36.506399,127.267947,0.0,0.0,0.0,0.0,0.0
SJB293056008,양지중학교,36.50843,127.26785,0.0,0.0,0.0,0.0,0.0
SJB293056007,"도램마을14,15단지",36.51233,127.2668,0.0,0.0,0.0,0.0,0.0
SJB293056010,"도램마을16,19단지",36.51532,127.2659733,0.0,0.0,0.0,0.0,0.0
SJB293064108,도램마을20단지,36.5174087,127.2649161,0.0,0.0,0.0,0.0,0.0
